iter	Passed	Remaining
0	3	3407
1	6	3011
2	8	2935
3	12	2988
4	15	2994
5	17	2955
6	20	2903
7	23	2896
8	25	2778
9	27	2701
10	29	2679
11	32	2685
12	35	2665
13	37	2666
14	40	2668
15	43	2653
16	45	2623
17	47	2564
18	50	2598
19	53	2600
20	56	2641
21	58	2619
22	61	2609
23	64	2611
24	66	2580
25	68	2583
26	71	2589
27	87	3028
28	93	3141
29	96	3123
30	99	3103
31	102	3094
32	104	3066
33	107	3046
34	109	3031
35	112	3016
36	115	2997
37	117	2982
38	120	2979
39	123	2954
40	125	2934
41	127	2905
42	130	2893
43	132	2879
44	134	2862
45	137	2850
46	140	2850
47	142	2830
48	146	2834
49	149	2838
50	152	2836
51	155	2831
52	158	2837
53	161	2820
54	163	2816
55	167	2819
56	169	2811
57	172	2801
58	175	2794
59	177	2784
60	179	2763
61	182	2755
62	184	2749
63	188	2751
64	190	2745
65	193	2740
66	196	2738
67	199	2734
68	202	2730
69	205	2734
70	207	2716
71	210	2711
72	213	2706
73	215	2695
74	218	2690
75	220	2676
76	222	2672
77	225	2667
78	228	2668
79	231	2663
80	234	2657
81	236	2651
82	239	2645
83	242	2640
84	244	2629
85	246	2623
86	249	2617
87	252	2614
88	255	2610
89	258	2610
90	260	2605
91	263	2603
92	266	2597
93	269	2594
94	272	2591
95	273	2579
96	276	2576
97	279	2572
98	282	2567
99	284	2564
100	287	2557
101	290	2560
102	293	2558
103	295	2548
104	298	2543
105	301	2539
106	304	2540
107	307	2538
108	309	2533
109	312	2528
110	314	2516
111	317	2515
112	320	2512
113	322	2509
114	325	2504
115	328	2502
116	331	2499
117	333	2494
118	336	2491
119	339	2489
120	342	2488
121	345	2485
122	347	2480
123	350	2477
124	353	2472
125	355	2468
126	358	2466
127	361	2465
128	365	2465
129	368	2463
130	371	2463
131	374	2459
132	376	2457
133	379	2453
134	382	2450
135	385	2448
136	388	2444
137	391	2444
138	393	2437
139	396	2435
140	399	2435
141	402	2429
142	403	2418
143	405	2412
144	408	2409
145	410	2403
146	413	2401
147	415	2391
148	418	2390
149	421	2388
150	424	2385
151	426	2382
152	429	2379
153	432	2376
154	435	2372
155	438	2370
156	441	2369
157	443	2365
158	446	2359
159	448	2354
160	451	2350
161	453	2348
162	456	2344
163	459	2340
164	461	2336
165	464	2332
166	466	2324
167	468	2320
168	471	2316
169	473	2313
170	476	2308
171	478	2305
172	481	2304
173	484	2300
174	487	2298
175	490	2294
176	492	2291
177	495	2288
178	498	2284
179	500	2281
180	503	2278
181	506	2274
182	508	2271
183	511	2268
184	514	2264
185	516	2260
186	519	2257
187	522	2254
188	524	2251
189	528	2251
190	530	2249
191	533	2246
192	536	2242
193	539	2240
194	542	2237
195	544	2234
196	547	2231
197	550	2227
198	552	2224
199	555	2221
200	558	2218
201	560	2215
202	563	2212
203	565	2207
204	567	2200
205	570	2200
206	573	2197
207	576	2194
208	578	2191
209	581	2188
210	584	2185
211	586	2181
212	589	2179
213	592	2175
214	595	2172
215	597	2168
216	599	2164
217	602	2161
218	605	2158
219	608	2156
220	611	2154
221	614	2152
222	617	2150
223	620	2148
224	623	2145
225	626	2144
226	628	2140
227	631	2138
228	634	2136
229	637	2134
230	640	2133
231	643	2130
232	646	2128
233	649	2125
234	651	2122
235	653	2115
236	655	2111
237	658	2109
238	662	2108
239	665	2106
240	668	2106
241	672	2105
242	674	2102
243	677	2098
244	679	2095
245	682	2092
246	685	2088
247	687	2084
248	690	2081
249	693	2080
250	696	2077
251	698	2074
252	701	2071
253	703	2067
254	706	2063
255	709	2062
256	712	2059
257	715	2056
258	717	2053
259	720	2050
260	723	2048
261	726	2046
262	729	2044
263	732	2042
264	736	2041
265	739	2040
266	742	2039
267	745	2036
268	748	2034
269	751	2032
270	754	2029
271	757	2026
272	759	2023
273	762	2019
274	765	2016
275	767	2014
276	770	2011
277	772	2005
278	774	2001
279	776	1996
280	778	1993
281	781	1990
282	784	1987
283	787	1984
284	789	1981
285	792	1979
286	796	1977
287	798	1974
288	800	1970
289	803	1967
290	804	1961
291	807	1958
292	810	1954
293	812	1952
294	815	1949
295	818	1946
296	820	1943
297	823	1940
298	826	1937
299	828	1934
300	832	1932
301	834	1929
302	837	1926
303	839	1923
304	842	1920
305	845	1917
306	847	1912
307	849	1908
308	852	1905
309	855	1903
310	857	1900
311	860	1897
312	863	1896
313	866	1893
314	869	1890
315	870	1885
316	873	1882
317	876	1878
318	878	1876
319	881	1873
320	884	1870
321	887	1868
322	890	1865
323	892	1862
324	895	1859
325	898	1857
326	901	1854
327	904	1852
328	907	1850
329	909	1847
330	911	1842
331	914	1839
332	917	1837
333	919	1833
334	922	1831
335	923	1825
336	926	1822
337	929	1820
338	932	1817
339	934	1814
340	937	1811
341	940	1808
342	942	1804
343	944	1800
344	947	1798
345	949	1794
346	951	1791
347	954	1789
348	957	1786
349	960	1783
350	962	1779
351	965	1777
352	968	1774
353	970	1771
354	973	1769
355	976	1766
356	979	1763
357	981	1760
358	984	1758
359	986	1754
360	989	1752
361	992	1750
362	994	1745
363	997	1743
364	1000	1740
365	1002	1736
366	1004	1732
367	1007	1730
368	1010	1727
369	1013	1725
370	1015	1722
371	1017	1718
372	1021	1716
373	1022	1711
374	1025	1709
375	1028	1706
376	1031	1704
377	1034	1702
378	1037	1700
379	1040	1697
380	1042	1694
381	1045	1691
382	1048	1688
383	1050	1684
384	1053	1683
385	1056	1680
386	1058	1677
387	1061	1673
388	1064	1671
389	1066	1668
390	1069	1666
391	1073	1664
392	1076	1662
393	1078	1659
394	1082	1657
395	1085	1655
396	1088	1652
397	1090	1649
398	1093	1647
399	1096	1645
400	1099	1642
401	1102	1639
402	1104	1636
403	1107	1633
404	1110	1631
405	1113	1629
406	1116	1626
407	1119	1624
408	1120	1619
409	1123	1616
410	1124	1611
411	1127	1609
412	1129	1605
413	1131	1602
414	1134	1599
415	1137	1596
416	1139	1593
417	1142	1590
418	1144	1587
419	1147	1584
420	1150	1582
421	1153	1579
422	1155	1576
423	1158	1573
424	1161	1570
425	1163	1567
426	1166	1565
427	1168	1561
428	1171	1558
429	1174	1556
430	1177	1554
431	1179	1551
432	1182	1548
433	1186	1547
434	1187	1542
435	1190	1540
436	1193	1537
437	1196	1534
438	1198	1531
439	1201	1529
440	1203	1525
441	1206	1523
442	1209	1520
443	1211	1517
444	1215	1515
445	1218	1513
446	1220	1510
447	1223	1507
448	1226	1504
449	1228	1502
450	1231	1499
451	1234	1496
452	1236	1493
453	1238	1490
454	1241	1486
455	1243	1483
