==============================================================================================================================================================

Run on original (imbalanced) dataset

Classifier                       CatBoost  Decision Tree  K-Nearest Neighbors  Logistic Regression  Random Forest       SVC   XGBoost
BoW                              0.644757       0.688347             0.449511             0.717730       0.692771  0.714667  0.643750
Custom dataset-trained Word2Vec  0.571429       0.526564             0.511628             0.456559       0.566197  0.375000  0.569149
Pre-trained Arabic fastText      0.701935       0.557491             0.671156             0.682256       0.672222  0.696379  0.712999
Pre-trained GloVe                0.060325       0.060325             0.526954             0.060606       0.060606  0.060325  0.060325
Pre-trained GoogleNews Word2Vec  0.000000       0.000000             0.000000             0.000000       0.000000  0.000000  0.000000
TF-IDF                           0.643857       0.675359             0.652361             0.655332       0.679699  0.721678  0.633385

==============================================================================================================================================================

Run on undersampled dataset

Classifier                       CatBoost  Decision Tree  K-Nearest Neighbors  Logistic Regression  Random Forest       SVC   XGBoost
BoW                              0.727532       0.742706             0.587586             0.795396       0.719068  0.777215  0.694767
Custom dataset-trained Word2Vec  0.688807       0.648456             0.639303             0.715278       0.679058  0.709172  0.678700
Pre-trained Arabic fastText      0.799014       0.670507             0.750000             0.794521       0.754717  0.804020  0.771290
Pre-trained GloVe                0.084821       0.085011             0.656176             0.084821       0.153209  0.085011  0.085011
Pre-trained GoogleNews Word2Vec  0.650943       0.650943             0.650943             0.654659       0.654659  0.654659  0.654659
TF-IDF                           0.726257       0.710765             0.703654             0.776650       0.714083  0.803050  0.705382

==============================================================================================================================================================

Run on oversampled dataset

Classifier                       CatBoost  Decision Tree  K-Nearest Neighbors  Logistic Regression  Random Forest       SVC   XGBoost
BoW                              0.816359       0.905607             0.727790             0.909742       0.920263  0.916607  0.783539
Custom dataset-trained Word2Vec  0.816667       0.796519             0.719671             0.709025       0.836465  0.702268  0.840640
Pre-trained Arabic fastText      0.914405       0.828817             0.783854             0.804094       0.909091  0.814708  0.907446
Pre-trained GloVe                0.167064       0.068966             0.670103             0.071429       0.068966  0.169048  0.166865
Pre-trained GoogleNews Word2Vec  0.008299       0.008299             0.671022             0.008299       0.008299  0.008299  0.008299
TF-IDF                           0.813533       0.891516             0.774436             0.885199       0.913616  0.899069  0.779412
==============================================================================================================================================================

