link,username,tweet
https://twitter.com/anyuser/status/1208039654223679488,aboalmout,✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️👌👌👌👌👌
https://twitter.com/anyuser/status/1189267950538297345,aboalmout,"جاري مغادرة كافة المجموعات بدون استثناء
مليت 😏

#انا_نكدي😐"
https://twitter.com/anyuser/status/1119117549428363266,aboalmout,❤️❤️❤️ علي سوريا الصادق الصريح العفوي
https://twitter.com/anyuser/status/1092869740962463744,aboalmout,❤️❤️❤️❤️ https://t.co/zbhAlxWwZk
https://twitter.com/anyuser/status/1092025185929252865,aboalmout,https://t.co/7b9MaFZxDz
https://twitter.com/anyuser/status/1041292480329785345,aboalmout,أحرمكن أكل الجاج
https://twitter.com/anyuser/status/1040646771037360128,aboalmout,حي على خير العمل ♥️ https://t.co/g62j0T33c2
https://twitter.com/anyuser/status/1037380926987284484,aboalmout,ألف رحمة ونور لروحك يابطل https://t.co/0EY7LJx2v0
https://twitter.com/anyuser/status/1029407751196352512,aboalmout,كلمة حق https://t.co/wrgF2XNzvy
https://twitter.com/anyuser/status/1024340620943548416,aboalmout,"وحتى صوت الشهيد يوصل لاتنبشو قبري
لاتقتلوني مرتين 😔 https://t.co/AynoKKk2gH"
https://twitter.com/anyuser/status/1023969510573924354,aboalmout,مبروك المركز السادس للأبطال الغوالي حماكم الله https://t.co/GIcKtd595V
https://twitter.com/anyuser/status/1023893162144817152,aboalmout,مهندسي مؤسسة الطرق في حماه لعنكم الله ولعنكم الشهيد وأطفاله أليس لديكم ذرة شرف؟ https://t.co/25trkcOnEg
https://twitter.com/anyuser/status/1020014573053796352,aboalmout,أبو سليمان زينة الرجال حماك الله https://t.co/cvC5zPbYxO
https://twitter.com/anyuser/status/1015657659335348227,aboalmout,أبو علي حالف يجيبو من دانو لعبضلا العرص ابن الأوروبية 😁😁😁 https://t.co/QZQiXFfHVz
https://twitter.com/anyuser/status/1000434585149288448,aboalmout,طبعاً لاء
https://twitter.com/anyuser/status/999511016173195264,aboalmout,"تشرفت بمعرفتك 😁 
وشكرن لقبول الصداقة 😝 https://t.co/iEMBRZwvX5"
https://twitter.com/anyuser/status/999139875021639680,aboalmout,"مضى عامان على تفجيرات #جبلة #طرطوس لن ننسى
صباح العزة والكرامة 
لروحك السلام عمتي الغالية"
https://twitter.com/anyuser/status/996659841811800064,aboalmout,"كارثة إنسانية 
ادعموا اخوتكم. https://t.co/Wg2hUJGFRN"
https://twitter.com/anyuser/status/995416010000945152,aboalmout,"همام حوت انت بعت وطنك و عرضك ونحنا علينا نثبت هالشي😁
رابط بالتعليقات"
https://twitter.com/anyuser/status/994532523639263233,aboalmout,✌✌✌✌✌✌ https://t.co/pi0BmIRlNd
https://twitter.com/anyuser/status/994424336110047232,aboalmout,"تساقطت و ذلت في سمائنا صواريخكم وطائراتكم.
نحن بخير بفضل الله و رجاله. 
صباحكم أمان و نصر 💓"
https://twitter.com/anyuser/status/993584623375568896,aboalmout,"🔫 SAMO 🔫 
رح تتعلم كلشي ياغالي علم وقوة الله يخليلي ياك https://t.co/WjBhXUL9cL"
https://twitter.com/anyuser/status/993093354685632514,aboalmout,"سلامتك يا وسيم الله يكون معك ويقومك بألف خير وسلامة. 
يارب يارب دعولو بقلبكن."
